payment_id,payment_move_id,invoice_move_id,invoice_number_ref,amount,create_date,last_updated
146096,932465,931652,"INV/2025/01684 - American Aquatic, Bill To - 120994110851",10.0,2025-04-22 19:50:56,2025-04-22 19:50:56
146095,932372,932371,S-INV/2025/20588,573.93,2025-04-22 18:46:56,2025-04-22 18:46:56
146094,932321,932313,INV/2025/01695,1074.85,2025-04-22 17:44:32,2025-04-22 17:44:32
146093,932300,None,INV/2025/01692,1134.5,2025-04-22 17:21:11,2025-04-22 17:43:26
146092,932174,821643,INV/2025/00853,746.0,2025-04-22 16:47:08,2025-04-22 16:47:08
146090,932172,828106,INV/2025/00915,627.9,2025-04-22 16:46:54,2025-04-22 16:46:54
146091,932173,799262,INV/2025/00727,6890.94,2025-04-22 16:46:54,2025-04-22 16:46:54
146088,932113,932112,INV/2025/01686,487.0,2025-04-22 15:52:52,2025-04-22 15:52:52
146084,932090,932089,S-INV/2025/20584,30.45,2025-04-22 15:47:40,2025-04-22 15:47:40
146080,932078,932077,S-INV/2025/20583,49.65,2025-04-22 15:45:38,2025-04-22 15:45:38
146073,932056,932051,S-INV/2025/20580,50.45,2025-04-22 15:40:32,2025-04-22 15:40:32
146066,932035,932034,S-INV/2025/20577,49.83,2025-04-22 15:38:28,2025-04-22 15:38:28
146065,932033,932032,S-INV/2025/20576,30.77,2025-04-22 15:38:25,2025-04-22 15:38:25
146057,932002,932001,S-INV/2025/20570,53.03,2025-04-22 15:37:54,2025-04-22 15:37:54
146052,931992,931991,S-INV/2025/20565,66.14,2025-04-22 15:37:49,2025-04-22 15:37:49
146051,931990,931989,S-INV/2025/20564,34.39,2025-04-22 15:37:50,2025-04-22 15:37:50
146043,931966,931964,S-INV/2025/20557,32.51,2025-04-22 15:37:35,2025-04-22 15:37:35
146034,931937,931935,S-INV/2025/20552,30.9,2025-04-22 15:37:31,2025-04-22 15:37:31
146033,931934,931933,S-INV/2025/20551,61.39,2025-04-22 15:37:30,2025-04-22 15:37:30
146026,931913,931911,S-INV/2025/20544,41.09,2025-04-22 15:37:16,2025-04-22 15:37:16
146021,931898,931896,S-INV/2025/20539,49.49,2025-04-22 15:37:04,2025-04-22 15:37:04
146015,931880,931878,S-INV/2025/20533,38.4,2025-04-22 15:37:08,2025-04-22 15:37:08
146013,931874,931872,S-INV/2025/20532,40.21,2025-04-22 15:37:02,2025-04-22 15:37:02
146009,931862,931859,S-INV/2025/20528,49.4,2025-04-22 15:37:03,2025-04-22 15:37:03
146004,931834,931833,S-INV/2025/20523,32.52,2025-04-22 15:31:15,2025-04-22 15:31:15
146003,931829,931828,S-INV/2025/20522,75.82,2025-04-22 15:31:12,2025-04-22 15:31:12
146002,931823,931822,S-INV/2025/20521,36.8,2025-04-22 15:31:09,2025-04-22 15:31:09
145996,931809,931807,S-INV/2025/20519,101.75,2025-04-22 15:30:41,2025-04-22 15:30:41
145995,931805,931804,S-INV/2025/20518,92.83,2025-04-22 15:30:41,2025-04-22 15:30:41
145988,931780,931778,S-INV/2025/20513,63.39,2025-04-22 15:30:21,2025-04-22 15:30:21
145984,931768,931766,S-INV/2025/20509,86.9,2025-04-22 15:30:27,2025-04-22 15:30:27
145977,931743,931741,S-INV/2025/20506,40.1,2025-04-22 15:30:15,2025-04-22 15:30:15
145970,931710,931708,S-INV/2025/20501,46.39,2025-04-22 15:30:03,2025-04-22 15:30:03
145965,931689,931675,S-INV/2025/20496,72.98,2025-04-22 15:29:56,2025-04-22 15:29:56
145961,931656,931655,S-INV/2025/20492,44.47,2025-04-22 15:24:30,2025-04-22 15:24:30
145958,931643,931642,S-INV/2025/20489,85.06,2025-04-22 15:23:56,2025-04-22 15:23:56
145942,931591,931590,S-INV/2025/20479,69.28,2025-04-22 15:23:34,2025-04-22 15:23:34
145940,931581,931580,S-INV/2025/20477,82.98,2025-04-22 15:23:19,2025-04-22 15:23:19
145933,931555,931552,S-INV/2025/20470,111.28,2025-04-22 15:23:07,2025-04-22 15:23:07
145932,931551,None,S-INV/2025/20469,0.0,2025-04-22 15:23:20,2025-04-22 15:23:20
145930,931545,931542,S-INV/2025/20468,87.38,2025-04-22 15:23:07,2025-04-22 15:23:07
145929,931539,931538,S-INV/2025/20467,71.38,2025-04-22 15:23:13,2025-04-22 15:23:13
145926,931529,931526,S-INV/2025/20465,68.96,2025-04-22 15:23:11,2025-04-22 15:23:11
145925,931525,931522,S-INV/2025/20464,72.0,2025-04-22 15:23:08,2025-04-22 15:23:08
145924,931521,931518,S-INV/2025/20463,64.0,2025-04-22 15:23:06,2025-04-22 15:23:06
145923,931517,931503,S-INV/2025/20462,60.0,2025-04-22 15:23:04,2025-04-22 15:23:04
145922,931496,931495,S-INV/2025/20461,98.17,2025-04-22 15:23:04,2025-04-22 15:23:04
145920,931490,931485,S-INV/2025/20459,70.56,2025-04-22 15:23:03,2025-04-22 15:23:03
145903,931421,931420,S-INV/2025/20445,116.59,2025-04-22 15:14:31,2025-04-22 15:14:31
145900,931408,931407,S-INV/2025/20442,82.06,2025-04-22 15:14:18,2025-04-22 15:14:18
145887,931347,931346,S-INV/2025/20430,135.19,2025-04-22 15:14:07,2025-04-22 15:14:07
145882,931328,931327,S-INV/2025/20425,96.0,2025-04-22 15:14:09,2025-04-22 15:14:09
145870,931246,931245,S-INV/2025/20414,52.92,2025-04-22 15:05:48,2025-04-22 15:05:48
145869,931242,931241,S-INV/2025/20413,105.48,2025-04-22 15:05:47,2025-04-22 15:05:47
145834,931198,929548,INV/2025/01682,305.37,2025-04-22 14:59:45,2025-04-22 14:59:45
145835,931199,929077,INV/2025/01680,1087.95,2025-04-22 14:59:45,2025-04-22 14:59:45
145836,931200,929049,INV/2025/01679,244.26,2025-04-22 14:59:45,2025-04-22 14:59:45
145837,931201,929042,INV/2025/01678,524.76,2025-04-22 14:59:45,2025-04-22 14:59:45
145838,931202,929030,INV/2025/01677,575.64,2025-04-22 14:59:45,2025-04-22 14:59:45
145839,931203,929016,INV/2025/01676,493.75,2025-04-22 14:59:45,2025-04-22 14:59:45
145840,931204,928948,INV/2025/01673,875.83,2025-04-22 14:59:45,2025-04-22 14:59:45
145841,931205,928918,INV/2025/01672,375.81,2025-04-22 14:59:45,2025-04-22 14:59:45
145842,931206,928903,INV/2025/01670,231.91,2025-04-22 14:59:45,2025-04-22 14:59:45
145843,931207,928890,INV/2025/01669,222.27,2025-04-22 14:59:45,2025-04-22 14:59:45
145844,931208,928879,INV/2025/01668,237.36,2025-04-22 14:59:45,2025-04-22 14:59:45
145845,931209,928867,INV/2025/01666,167.94,2025-04-22 14:59:45,2025-04-22 14:59:45
145846,931210,928863,INV/2025/01665,126.85,2025-04-22 14:59:45,2025-04-22 14:59:45
145847,931211,928857,INV/2025/01663,72.52,2025-04-22 14:59:45,2025-04-22 14:59:45
145848,931212,928852,INV/2025/01662,364.06,2025-04-22 14:59:45,2025-04-22 14:59:45
145849,931213,928842,INV/2025/01661,232.56,2025-04-22 14:59:45,2025-04-22 14:59:45
145850,931214,928836,INV/2025/01660,173.43,2025-04-22 14:59:45,2025-04-22 14:59:45
145851,931215,928823,INV/2025/01659,242.99,2025-04-22 14:59:45,2025-04-22 14:59:45
145852,931216,928479,INV/2025/01657,64.14,2025-04-22 14:59:45,2025-04-22 14:59:45
145853,931217,928459,INV/2025/01655,94.19,2025-04-22 14:59:45,2025-04-22 14:59:45
145854,931218,928266,INV/2025/01654,244.82,2025-04-22 14:59:45,2025-04-22 14:59:45
145855,931219,928259,INV/2025/01653,49.62,2025-04-22 14:59:45,2025-04-22 14:59:45
145856,931220,928257,INV/2025/01652,166.43,2025-04-22 14:59:45,2025-04-22 14:59:45
145857,931221,928248,INV/2025/01651,53.4,2025-04-22 14:59:45,2025-04-22 14:59:45
145858,931222,928243,INV/2025/01650,85.88,2025-04-22 14:59:45,2025-04-22 14:59:45
145859,931223,928240,INV/2025/01649,93.54,2025-04-22 14:59:45,2025-04-22 14:59:45
145860,931224,928074,INV/2025/01648,90.26,2025-04-22 14:59:45,2025-04-22 14:59:45
145861,931225,927742,INV/2025/01647,92.52,2025-04-22 14:59:45,2025-04-22 14:59:45
145862,931226,927389,INV/2025/01646,140.71,2025-04-22 14:59:45,2025-04-22 14:59:45
145863,931227,926502,INV/2025/01645,74.89,2025-04-22 14:59:45,2025-04-22 14:59:45
145864,931228,923485,INV/2025/01644,406.62,2025-04-22 14:59:45,2025-04-22 14:59:45
145865,931229,923472,INV/2025/01643,261.55,2025-04-22 14:59:45,2025-04-22 14:59:45
145866,931230,923471,INV/2025/01642,126.35,2025-04-22 14:59:45,2025-04-22 14:59:45
145867,931231,923467,INV/2025/01641,168.59,2025-04-22 14:59:45,2025-04-22 14:59:45
145832,931185,931184,S-INV/2025/20410,129.98,2025-04-22 14:46:35,2025-04-22 14:46:35
145827,931153,931152,S-INV/2025/20407,399.9,2025-04-22 14:46:12,2025-04-22 14:46:12
145823,931129,931128,S-INV/2025/20405,259.74,2025-04-22 14:45:24,2025-04-22 14:45:24
145820,931119,931118,S-INV/2025/20402,175.57,2025-04-22 14:45:33,2025-04-22 14:45:33
145819,931114,931113,S-INV/2025/20401,50.0,2025-04-22 14:45:16,2025-04-22 14:45:16
145811,931067,931053,S-INV/2025/20398,40.22,2025-04-22 14:45:19,2025-04-22 14:45:19
145807,931025,931024,S-INV/2025/20395,137.33,2025-04-22 14:45:12,2025-04-22 14:45:12
145803,930984,None,S-INV/2025/20391,0.0,2025-04-22 14:18:12,2025-04-22 14:18:12
145802,930331,None,S-INV/2025/20390,0.0,2025-04-22 06:17:01,2025-04-22 06:17:01
146087,932099,932098,S-INV/2025/20587,42.44,2025-04-22 15:47:54,2025-04-22 15:47:54
146086,932096,932095,S-INV/2025/20586,36.43,2025-04-22 15:47:51,2025-04-22 15:47:51
146085,932093,932092,S-INV/2025/20585,66.62,2025-04-22 15:47:48,2025-04-22 15:47:48
146078,932066,932065,S-INV/2025/20582,48.79,2025-04-22 15:40:33,2025-04-22 15:40:33
146076,932062,932061,S-INV/2025/20581,23.62,2025-04-22 15:40:32,2025-04-22 15:40:32
146068,932039,932038,S-INV/2025/20579,38.4,2025-04-22 15:38:26,2025-04-22 15:38:26
146067,932037,932036,S-INV/2025/20578,38.94,2025-04-22 15:38:36,2025-04-22 15:38:36
146062,932023,932022,S-INV/2025/20575,48.8,2025-04-22 15:38:30,2025-04-22 15:38:30
146061,932021,932019,S-INV/2025/20574,36.39,2025-04-22 15:38:25,2025-04-22 15:38:25
146060,932017,932014,S-INV/2025/20573,53.86,2025-04-22 15:38:25,2025-04-22 15:38:25
146059,932007,932006,S-INV/2025/20572,49.64,2025-04-22 15:38:14,2025-04-22 15:38:14
146058,932004,932003,S-INV/2025/20571,39.29,2025-04-22 15:37:52,2025-04-22 15:37:52
146056,932000,931999,S-INV/2025/20569,26.42,2025-04-22 15:37:52,2025-04-22 15:37:52
146055,931998,931997,S-INV/2025/20568,28.62,2025-04-22 15:37:50,2025-04-22 15:37:50
146054,931996,931995,S-INV/2025/20567,44.56,2025-04-22 15:37:28,2025-04-22 15:37:28
146053,931994,931993,S-INV/2025/20566,38.4,2025-04-22 15:37:43,2025-04-22 15:37:43
