order_id,create_date,last_updated,sales_date,date_order,delivery_date,delivery_address,sales_team,sales_person,amount_total,payment_terms,tags,state,invoice_status,customer,shipping_policy,channel,delivery_status
S04287,2025-04-22 20:21:38,2025-04-22 20:21:44,2025-04-22 20:00:00,2025-04-22 20:21:44,2025-05-07 20:00:00,"Food Pantry
3536 Harding Avenue
6th Floor
Honolulu HI 96816
United States",Wholesale,Christina Freberg,488.0,30 Days,APPAREL,sale,no,Food Pantry,one,Wholesale,pending
S04286,2025-04-22 19:43:58,2025-04-22 19:49:53,2025-04-22 22:00:00,2025-04-22 19:49:53,2025-04-23 19:00:00,"Kitty Hawk Kites
306 WEST LAKE DRIVE UNIT
UNIT K
KILL DEVIL HILLS NC 27948
United States",Wholesale,Christina Freberg,586.94,30 Days,JEWELRY,sale,to invoice,Kitty Hawk Kites,direct,Wholesale,pending
S04285,2025-04-22 19:20:26,2025-04-22 20:10:35,2025-04-22 18:00:00,2025-04-22 19:40:19,2025-04-22 18:00:00,"Buoy 22 Apparel
6931 Warehouse Rd

Gloucester VA 23061
United States",Wholesale,Jada Claiborne,1436.18,Due on Ship,,sale,to invoice,Buoy 22 Apparel,one,Wholesale,pending
S04284,2025-04-22 19:15:13,2025-04-22 19:15:55,2025-04-22 19:15:17,2025-04-22 19:15:17,2025-04-22 19:00:00,"5128 DRONNIGENS GADE, STE 2

St. Thomas  00802
Virgin Islands (USA)",Wholesale,Angela Gonzales,0.0,Net 30,,sale,invoiced,Classic USVI,one,Wholesale,full
S04259,2025-04-21 16:26:32,2025-04-22 18:29:08,2025-04-22 16:00:00,2025-04-22 18:29:08,2025-04-23 16:00:00,"Happy Cosmos
21016 East Sparrow Drive

Queen Creek AZ 85142
United States",Wholesale,Jada Claiborne,152.5,Due on Ship,,sale,no,Happy Cosmos,one,Wholesale,pending
S04281,2025-04-22 16:34:08,2025-04-22 18:26:56,2025-04-22 18:26:56,2025-04-22 18:26:56,2025-05-15 16:00:00,"Compound Board Shop
3604 Osprey Ave

Sarasota FL 34239
United States",Wholesale,Alyssa Kallal,133.0,Due on Ship,,sale,to invoice,Compound Board Shop,one,Wholesale,pending
S04282,2025-04-22 16:34:38,2025-04-22 18:26:53,2025-04-22 18:26:53,2025-04-22 18:26:53,2025-06-15 16:00:00,"Compound Board Shop
3604 Osprey Ave

Sarasota FL 34239
United States",Wholesale,Alyssa Kallal,210.0,Due on Ship,,sale,to invoice,Compound Board Shop,one,Wholesale,pending
S04283,2025-04-22 17:58:07,2025-04-22 18:25:20,2025-04-22 19:00:00,2025-04-22 18:22:14,2025-04-23 17:00:00,"Bodega Bay Surf Shack
1805 CA-1

Bodega Bay CA 94923
United States",Wholesale,Alyssa Kallal,754.0,Due on Ship,,sale,to invoice,Bodega Bay Surf Shack,one,Wholesale,pending
#SXJTSBT9H4,2025-03-24 20:21:13,2025-04-22 17:54:26,2025-04-22 17:53:24,2025-04-22 17:53:24,2025-04-21 12:59:59,"10235 Sawmill Parkway

Powell OH 43065
United States",Faire,,122.1,30 Days,Faire,sale,invoiced,Alissa Rodgers,one,Faire,full
S03989,2025-03-26 15:41:50,2025-04-22 17:44:25,2025-03-26 15:00:00,2025-04-22 17:16:06,2025-04-21 15:00:00,"Breakwater Surf
438 Thames St

Newport RI 02840
United States",Wholesale,Jada Claiborne,1133.35,Due on Ship,MARCH25_5%Promo,sale,no,Breakwater Surf,direct,Wholesale,partial
S03714,2025-01-31 17:32:07,2025-04-22 17:08:58,2025-01-31 16:00:00,2025-04-22 17:08:58,2025-04-24 15:00:00,"Victory at Sea - Delivery
319 Beach Ave

Cape May NJ 08204
United States",Wholesale,Jada Claiborne,2996.96,30 Days,,sale,to invoice,Victory at Sea,direct,Wholesale,pending
S04280,2025-04-22 16:28:02,2025-04-22 16:58:33,2025-04-22 16:00:00,2025-04-22 16:58:33,2025-04-23 16:00:00,"Compound Board Shop
3604 Osprey Ave

Sarasota FL 34239
United States",Wholesale,Alyssa Kallal,176.5,Due on Ship,survey2025,sale,no,Compound Board Shop,one,Wholesale,pending
S03722,2025-02-03 16:36:56,2025-04-22 16:57:16,2025-01-31 16:00:00,2025-04-22 16:57:16,2025-06-12 15:00:00,"Victory at Sea - Delivery
319 Beach Ave

Cape May NJ 08204
United States",Wholesale,Jada Claiborne,3622.0,30 Days,,sale,to invoice,Victory at Sea,one,Wholesale,pending
#FAPCFHMM8U,2025-04-22 04:46:10,2025-04-22 04:46:10,2025-04-22 04:46:10,2025-04-22 04:46:10,,"4807 University Avenue

Cedar Falls IA 50613
United States",Faire,,777.5,30 Days,Faire,sale,to invoice,Aubry Baldwin,one,Faire,pending
#7E6NB2RCW3,2025-04-22 04:46:09,2025-04-22 20:00:22,2025-04-22 04:46:09,2025-04-22 04:46:09,2025-04-22 19:00:00,"2539 Laurel Road

Jacksonville FL 32207
United States",Faire,,175.12,30 Days,Faire,sale,invoiced,Georgina Schimpff,one,Faire,full
#CGDD9WVWST,2025-04-22 04:46:08,2025-04-22 20:31:20,2025-04-22 04:46:08,2025-04-22 04:46:08,2025-04-22 20:00:00,"Little Blue Boutique
4774 Park Granada
#7
Calabasas CA 91302
United States",Wholesale,Christina Freberg,281.96,30 Days,Faire,sale,invoiced,Little Blue Boutique,one,Faire,full
#3WHQF8SFRE,2025-04-22 04:46:07,2025-04-22 04:46:07,2025-04-22 04:46:08,2025-04-22 04:46:08,,"1470 Town Center Drive

Lakeland FL 33803
United States",Faire,,370.53,30 Days,Faire,sale,to invoice,Amelia Paige ,one,Faire,pending
#QWBW9VPX8S,2025-04-22 04:46:06,2025-04-22 19:56:11,2025-04-22 04:46:07,2025-04-22 04:46:07,2025-04-22 19:00:00,"44 S. San Marcos Place

Chandler AZ 85225
United States",Faire,,200.59,30 Days,Faire,sale,invoiced,Brian Sehner,one,Faire,full
#ZC68KB8FY5,2025-04-22 04:46:06,2025-04-22 20:08:23,2025-04-22 04:46:06,2025-04-22 04:46:06,2025-04-22 20:00:00,"21 Main Street

Warwick NY 10990
United States",Faire,,105.65,30 Days,Faire,sale,invoiced,Amy Fritzky,one,Faire,full
