product_id,internal_reference,name,qty_on_hand,free_qty,outgoing_qty,incoming_qty,last_updated
1131,10039,Ocean Bracelets,92.0,86.0,11.0,160.0,2025-04-16 17:18:13
1129,100OCB-S24-01,Ocean Bracelets,98.0,98.0,0.0,0.0,2025-04-16 17:18:13
1132,100OCB-S24-02,Ocean Bracelets,50.0,50.0,0.0,0.0,2025-04-16 17:18:13
1130,100OCB-S24-03,Ocean Bracelets,0.0,0.0,0.0,0.0,2025-04-16 17:18:13
2120,100OCB-S24-04,Ocean Bracelets,50.0,50.0,2.0,0.0,2025-04-16 17:18:13
1007,10133,Earth Bracelets,0.0,0.0,0.0,0.0,2025-04-16 17:18:13
1005,10164,Earth Bracelets,50.0,50.0,0.0,30.0,2025-04-16 17:18:13
1008,10166,Earth Bracelets,48.0,48.0,10.0,90.0,2025-04-16 17:18:13
1009,101EAB-S24-01,Earth Bracelets,50.0,50.0,2.0,0.0,2025-04-16 17:18:13
1006,101EAB-S24-02,Earth Bracelets,50.0,50.0,0.0,0.0,2025-04-16 17:18:13
1104,10262,Island Bracelets,181.0,175.0,6.0,30.0,2025-04-16 17:18:13
1106,10264,Island Bracelets,99.0,93.0,6.0,90.0,2025-04-16 17:18:13
5589,102IHB-01-PMM,Island Bracelets,0.0,0.0,0.0,0.0,2025-04-16 17:18:13
1103,102IHB-S24-01,Island Bracelets,50.0,50.0,0.0,0.0,2025-04-16 17:18:13
1102,102IHB-S24-02,Island Bracelets,0.0,0.0,0.0,0.0,2025-04-16 17:18:13
1105,102IHB-S24-03,Island Bracelets,0.0,0.0,0.0,0.0,2025-04-16 17:18:13
2306,10301,Uluwatu Swell Men's Bracelet,0.0,0.0,0.0,0.0,2025-04-16 17:18:13
11813,10302,Dawn Patrol Men's Bracelet,0.0,0.0,0.0,0.0,2025-04-16 17:18:13
2722,10305,Rajah's Lair Men's Bracelet,0.0,0.0,0.0,0.0,2025-04-16 17:18:13
1110,10355,Men's Single Bracelets,96.0,96.0,0.0,30.0,2025-04-16 17:18:13
1108,10357,Men's Single Bracelets,87.0,86.0,2.0,30.0,2025-04-16 17:18:13
1109,103MNB-S24-01,Men's Single Bracelets,100.0,100.0,0.0,0.0,2025-04-16 17:18:13
1111,103MNB-S24-02,Men's Single Bracelets,0.0,0.0,0.0,0.0,2025-04-16 17:18:13
10224,103MNB-S24-03,Mens Drifter Bracelets Collection,50.0,50.0,0.0,0.0,2025-04-16 17:18:13
10225,103MNB-S24-04,Mens Drifter Bracelets Collection,50.0,50.0,0.0,0.0,2025-04-16 17:18:13
10226,103MNB-S24-05,Mens Drifter Bracelets Collection,0.0,0.0,0.0,0.0,2025-04-16 17:18:13
10227,103MNB-S24-06,Mens Drifter Bracelets Collection,50.0,50.0,0.0,0.0,2025-04-16 17:18:13
10228,103MNB-S24-07,Mens Drifter Bracelets Collection,50.0,50.0,0.0,0.0,2025-04-16 17:18:13
10229,103MNB-S24-08,Mens Drifter Bracelets Collection,50.0,50.0,0.0,0.0,2025-04-16 17:18:13
991,10460,Cowry Shell Anklets,-1.0,-1.0,0.0,0.0,2025-04-16 17:18:13
990,10461,Cowry Shell Anklets,-1.0,-1.0,0.0,0.0,2025-04-16 17:18:13
992,10462,Cowry Shell Anklets,-2.0,-2.0,0.0,0.0,2025-04-16 17:18:13
1141,10486,Seedbead Anklets,45.0,45.0,0.0,90.0,2025-04-16 17:18:13
1142,10488,Seedbead Anklets,274.0,274.0,2.0,0.0,2025-04-16 17:18:13
11752,10489,Sparkle Shimmer Anklet,-2.0,-2.0,0.0,0.0,2025-04-16 17:18:13
1156,10490,Shimmer Anklets,0.0,0.0,0.0,0.0,2025-04-16 17:18:13
1140,10492,Seedbead Anklets,269.0,269.0,0.0,0.0,2025-04-16 17:18:13
1144,10493,Seedbead Anklets,0.0,0.0,0.0,0.0,2025-04-16 17:18:13
984,10498,2mm Healing Anklets,116.0,116.0,7.0,60.0,2025-04-16 17:18:13
985,10499,2mm Healing Anklets,4.0,3.0,3.0,130.0,2025-04-16 17:18:13
5134,104BCA-PPP-10,Beachcomber Anklet Collection,51.0,47.0,27.0,150.0,2025-04-16 17:18:13
5135,104BCA-S24-01,Beachcomber Anklet Collection,115.0,113.0,7.0,120.0,2025-04-16 17:18:13
5136,104BCA-S24-02,Beachcomber Anklet Collection,109.0,104.0,5.0,180.0,2025-04-16 17:18:13
5137,104BCA-S24-03,Beachcomber Anklet Collection,95.0,89.0,26.0,300.0,2025-04-16 17:18:13
5138,104BCA-S24-04,Beachcomber Anklet Collection,-5.0,-5.0,0.0,0.0,2025-04-16 17:18:13
2569,104HLA-F23-03,Aura Healing Anklet,1.0,1.0,0.0,0.0,2025-04-16 17:18:13
