line_item_id,order_id,sales_date,last_updated,sku,quantity,unit_price,product_category,to_invoice,cost,sales_team
1719317,S04102,2025-04-01 17:00:00,2025-04-17 17:55:04,50131,4.0,19.5,Clothing / Tops,74.1,7.42,Wholesale
1719318,S04102,2025-04-01 17:00:00,2025-04-17 17:55:04,50165,4.0,19.5,Clothing / Tops,74.1,7.42,Wholesale
1719319,S04102,2025-04-01 17:00:00,2025-04-17 17:55:04,50181,4.0,19.5,Clothing / Tops,74.1,7.52,Wholesale
1719320,S04102,2025-04-01 17:00:00,2025-04-17 17:55:26,50209,4.0,19.5,Clothing / Tops,74.1,7.52,Wholesale
1719321,S04102,2025-04-01 17:00:00,2025-04-17 17:55:04,50212,4.0,19.5,Clothing / Tops,74.1,7.4,Wholesale
1719322,S04102,2025-04-01 17:00:00,2025-04-17 17:55:04,50226,4.0,19.5,Clothing / Tops,74.1,7.49,Wholesale
1719323,S04102,2025-04-01 17:00:00,2025-04-17 17:55:04,50227,4.0,19.5,Clothing / Tops,74.1,7.54,Wholesale
1719324,S04102,2025-04-01 17:00:00,2025-04-17 17:55:04,50232,4.0,19.5,Clothing / Tops,74.1,7.47,Wholesale
1719325,S04102,2025-04-01 17:00:00,2025-04-17 17:55:04,98157C-PCKT-S,4.0,27.0,Clothing / Bottoms,102.6,9.43,Wholesale
1719326,S04102,2025-04-01 17:00:00,2025-04-17 17:55:04,98157C-PCKT-M,6.0,27.0,Clothing / Bottoms,153.9,9.43,Wholesale
1719327,S04102,2025-04-01 17:00:00,2025-04-17 17:55:04,98157C-PCKT-L,2.0,27.0,Clothing / Bottoms,51.3,9.43,Wholesale
1719328,S04102,2025-04-01 17:00:00,2025-04-17 17:55:04,98161C-PCKT-S,4.0,27.0,Clothing / Bottoms,102.6,9.43,Wholesale
1719329,S04102,2025-04-01 17:00:00,2025-04-17 17:55:04,98161C-PCKT-M,6.0,27.0,Clothing / Bottoms,153.9,9.43,Wholesale
1719330,S04102,2025-04-01 17:00:00,2025-04-17 17:55:04,98161C-PCKT-L,2.0,27.0,Clothing / Bottoms,51.3,9.43,Wholesale
1719334,S04102,2025-04-01 17:00:00,2025-04-17 17:55:04,98223C-PCKT-S,4.0,27.0,Clothing / Bottoms,102.6,6.67,Wholesale
1719335,S04102,2025-04-01 17:00:00,2025-04-17 17:55:04,98223C-PCKT-M,6.0,27.0,Clothing / Bottoms,153.9,6.67,Wholesale
1719336,S04102,2025-04-01 17:00:00,2025-04-17 17:55:04,98223C-PCKT-L,2.0,27.0,Clothing / Bottoms,51.3,6.67,Wholesale
1719423,S04102,2025-04-01 17:00:00,2025-04-17 17:55:04,98125C-PCKT-S,4.0,27.0,Clothing / Bottoms,102.6,9.43,Wholesale
1719424,S04102,2025-04-01 17:00:00,2025-04-17 17:55:04,98125C-PCKT-M,6.0,27.0,Clothing / Bottoms,153.9,9.43,Wholesale
1719425,S04102,2025-04-01 17:00:00,2025-04-17 17:55:04,98125C-PCKT-L,2.0,27.0,Clothing / Bottoms,51.3,9.43,Wholesale
1719372,S04102,2025-04-01 17:00:00,2025-04-17 17:55:04,90165-PKT-S,4.0,20.0,Clothing / Bottoms,76.0,7.71,Wholesale
1719373,S04102,2025-04-01 17:00:00,2025-04-17 17:55:04,90165-PKT-M,6.0,20.0,Clothing / Bottoms,114.0,7.71,Wholesale
1719374,S04102,2025-04-01 17:00:00,2025-04-17 17:55:04,90165-PKT-L,2.0,20.0,Clothing / Bottoms,38.0,7.71,Wholesale
1719375,S04102,2025-04-01 17:00:00,2025-04-17 17:55:04,90181-PKT-S,4.0,20.0,Clothing / Bottoms,76.0,7.82,Wholesale
1719376,S04102,2025-04-01 17:00:00,2025-04-17 17:55:04,90181-PKT-M,6.0,20.0,Clothing / Bottoms,114.0,7.82,Wholesale
1719377,S04102,2025-04-01 17:00:00,2025-04-17 17:55:04,90181-PKT-L,2.0,20.0,Clothing / Bottoms,38.0,7.82,Wholesale
1719378,S04102,2025-04-01 17:00:00,2025-04-17 17:55:04,90232-PKT-S,4.0,20.0,Clothing / Bottoms,76.0,7.77,Wholesale
1719379,S04102,2025-04-01 17:00:00,2025-04-17 17:55:04,90232-PKT-M,6.0,20.0,Clothing / Bottoms,114.0,7.77,Wholesale
1719380,S04102,2025-04-01 17:00:00,2025-04-17 17:55:04,90232-PKT-L,2.0,20.0,Clothing / Bottoms,38.0,7.77,Wholesale
1719390,S04102,2025-04-01 17:00:00,2025-04-17 17:55:04,90212-PKT-S,4.0,20.0,Clothing / Bottoms,76.0,7.68,Wholesale
1719391,S04102,2025-04-01 17:00:00,2025-04-17 17:55:04,90212-PKT-M,6.0,20.0,Clothing / Bottoms,114.0,7.68,Wholesale
1719392,S04102,2025-04-01 17:00:00,2025-04-17 17:55:04,90212-PKT-L,2.0,20.0,Clothing / Bottoms,38.0,7.68,Wholesale
1719393,S04102,2025-04-01 17:00:00,2025-04-17 17:55:04,90234-PKT-S,4.0,20.0,Clothing / Bottoms,76.0,7.77,Wholesale
1719394,S04102,2025-04-01 17:00:00,2025-04-17 17:55:04,90234-PKT-M,6.0,20.0,Clothing / Bottoms,114.0,7.77,Wholesale
1719395,S04102,2025-04-01 17:00:00,2025-04-17 17:55:04,90234-PKT-L,2.0,20.0,Clothing / Bottoms,38.0,7.77,Wholesale
1719428,S04102,2025-04-01 17:00:00,2025-04-17 17:55:04,90233-PKT-S,4.0,20.0,Clothing / Bottoms,76.0,7.82,Wholesale
1719429,S04102,2025-04-01 17:00:00,2025-04-17 17:55:04,90233-PKT-M,6.0,20.0,Clothing / Bottoms,114.0,7.82,Wholesale
1719430,S04102,2025-04-01 17:00:00,2025-04-17 17:55:04,90233-PKT-L,2.0,20.0,Clothing / Bottoms,38.0,7.82,Wholesale
1719396,S04102,2025-04-01 17:00:00,2025-04-17 17:55:04,SCR-NB-PPP-10,2.0,20.0,Accessories,38.0,5.25,Wholesale
1719397,S04102,2025-04-01 17:00:00,2025-04-17 17:55:04,DIS-CLO-01,1.0,0.0,Displays,0.0,1.32,Wholesale
1741765,S04250,2025-04-17 17:00:00,2025-04-17 17:25:34,DIS-CHOKER-02,1.0,0.0,Displays,0.0,1.32,Wholesale
1741751,S04249,2025-04-17 17:11:06,2025-04-17 17:24:39,104BCA-S24-03,3.0,0.0,Anklets,0.0,2.39,Wholesale
1741752,S04249,2025-04-17 17:11:06,2025-04-17 17:24:39,BCOA002,3.0,0.0,Anklets,0.0,2.6,Wholesale
1741753,S04249,2025-04-17 17:11:06,2025-04-17 17:24:39,4HLB008,6.0,0.0,Bracelets,0.0,4.3,Wholesale
1741754,S04249,2025-04-17 17:11:06,2025-04-17 17:24:39,10907,3.0,0.0,Bracelets,0.0,2.87,Wholesale
1741755,S04249,2025-04-17 17:11:06,2025-04-17 17:24:39,10917,3.0,0.0,Bracelets,0.0,2.87,Wholesale
1741756,S04249,2025-04-17 17:11:06,2025-04-17 17:24:39,ONSN001,2.0,0.0,Necklaces,0.0,4.95,Wholesale
1741757,S04249,2025-04-17 17:11:06,2025-04-17 17:24:39,OFFN002,2.0,0.0,Necklaces,0.0,3.02,Wholesale
1741758,S04249,2025-04-17 17:11:06,2025-04-17 17:24:39,83125C-S,1.0,0.0,Clothing / Bottoms,0.0,8.38,Wholesale
1741759,S04249,2025-04-17 17:11:06,2025-04-17 17:24:39,83216C-S,1.0,0.0,Clothing / Bottoms,0.0,8.38,Wholesale
1741760,S04249,2025-04-17 17:11:06,2025-04-17 17:24:39,85105C1-L,1.0,0.0,Clothing / Tops,0.0,5.53,Wholesale
1741761,S04249,2025-04-17 17:11:06,2025-04-17 17:24:39,85106C-M,1.0,0.0,Clothing / Tops,0.0,10.33,Wholesale
1741762,S04249,2025-04-17 17:11:06,2025-04-17 17:24:39,85119C-L,1.0,0.0,Clothing / Tops,0.0,9.88,Wholesale
1741763,S04249,2025-04-17 17:11:06,2025-04-17 17:24:39,83223C-S,0.0,0.0,Clothing / Bottoms,0.0,8.38,Wholesale
1741764,S04249,2025-04-17 17:11:06,2025-04-17 17:24:39,83119C-S,1.0,0.0,Clothing / Bottoms,0.0,8.38,Wholesale
