refund_id,order_id,quantity,subtotal,tax_subtotal,line_item_id,title,sku,product_id,product_type,variant_id,variant_sku,refund_line_item_id
gid://shopify/Refund/969254404195,#393191,1,23.99,2.01,gid://shopify/LineItem/14580639924323,Master Healer 2mm Metal Accent Healing Anklet,10499,gid://shopify/Product/6921115992163,Anklet,gid://shopify/ProductVariant/40371755974755,10499,gid://shopify/Refund/969254404195_gid://shopify/LineItem/14580639924323
gid://shopify/Refund/970337452131,#402290,1,17.78,1.69,gid://shopify/LineItem/14667187748963,Mystery Harem Pants,MYST-HAR-M,gid://shopify/Product/6667793727587,Pants,gid://shopify/ProductVariant/41829911494755,MYST-HAR-M,gid://shopify/Refund/970337452131_gid://shopify/LineItem/14667187748963
gid://shopify/Refund/970337812579,#424346,1,39.98,0.0,gid://shopify/LineItem/14982607896675,Oxford Castaway Jogger Pant,75155C-S,gid://shopify/Product/7275857248355,Pants,,,gid://shopify/Refund/970337812579_gid://shopify/LineItem/14982607896675
gid://shopify/Refund/967786725475,#424621,1,27.49,0.0,gid://shopify/LineItem/14987950817379,Rainforest Harem Pants,90188-PKT-M,gid://shopify/Product/7604687765603,Pants,gid://shopify/ProductVariant/42654009557091,90188-PKT-M,gid://shopify/Refund/967786725475_gid://shopify/LineItem/14987950817379
gid://shopify/Refund/967786725475,#424621,1,27.49,0.0,gid://shopify/LineItem/14987950784611,Emerald Isle Harem Pants,90187-PKT-M,gid://shopify/Product/7604683604067,Pants,gid://shopify/ProductVariant/42653993631843,90187-PKT-M,gid://shopify/Refund/967786725475_gid://shopify/LineItem/14987950784611
gid://shopify/Refund/970337583203,#427724,1,27.99,2.23,gid://shopify/LineItem/15023173238883,Nosara Harem Pants,90181-PKT-L,gid://shopify/Product/7489766391907,Pants,gid://shopify/ProductVariant/42093383975011,90181-PKT-L,gid://shopify/Refund/970337583203_gid://shopify/LineItem/15023173238883
gid://shopify/Refund/970337058915,#428093,1,27.99,0.0,gid://shopify/LineItem/15026477564003,Emerald Isle Harem Pants,90187-PKT-L,gid://shopify/Product/7604683604067,Pants,gid://shopify/ProductVariant/42653993664611,90187-PKT-L,gid://shopify/Refund/970337058915_gid://shopify/LineItem/15026477564003
gid://shopify/Refund/968481931363,#430694,1,49.99,2.59,gid://shopify/LineItem/15065874530403,Aqua Baja Pullover,88157C-S,gid://shopify/Product/7180592775267,Tops,gid://shopify/ProductVariant/41288552743011,88157C-S,gid://shopify/Refund/968481931363_gid://shopify/LineItem/15065874530403
gid://shopify/Refund/975666151523,#432812,1,54.99,3.98,gid://shopify/LineItem/15111552696419,Sage Cotton Cabana Pants,98147C-PCKT-M,gid://shopify/Product/6945826439267,Pants,gid://shopify/ProductVariant/40442256621667,98147C-PCKT-PET-M,gid://shopify/Refund/975666151523_gid://shopify/LineItem/15111552696419
gid://shopify/Refund/974065205347,#434197,1,31.99,0.0,gid://shopify/LineItem/15154658476131,Tidal Harem Pants,90192-PKT-M,gid://shopify/Product/7531823857763,Pants,gid://shopify/ProductVariant/42421454798947,90192-PKT-M,gid://shopify/Refund/974065205347_gid://shopify/LineItem/15154658476131
gid://shopify/Refund/967858684003,#434363,1,44.99,0.0,gid://shopify/LineItem/15158943645795,Nutmeg Cotton Cabana Pants,98158C-PCKT-M,gid://shopify/Product/7183833301091,Pants,gid://shopify/ProductVariant/41297126752355,98158C-PCKT-M,gid://shopify/Refund/967858684003_gid://shopify/LineItem/15158943645795
gid://shopify/Refund/974061928547,#435827,1,31.99,0.0,gid://shopify/LineItem/15195187839075,Black Harem Pants,90105-PKT-XL,gid://shopify/Product/6799865839715,Pants,gid://shopify/ProductVariant/41633977892963,90105-PKT-XL,gid://shopify/Refund/974061928547_gid://shopify/LineItem/15195187839075
gid://shopify/Refund/974064975971,#436479,1,0.0,0.0,gid://shopify/LineItem/15213406683235,Sicily Harem Pants,90101-PKT-L,gid://shopify/Product/6633419931747,Pants,gid://shopify/ProductVariant/42788292821091,90101-PKT-L,gid://shopify/Refund/974064975971_gid://shopify/LineItem/15213406683235
gid://shopify/Refund/974064975971,#436479,1,39.99,3.0,gid://shopify/LineItem/15213406716003,Carmel Harem Pants,90189-PKT-L,gid://shopify/Product/7592508522595,Pants,gid://shopify/ProductVariant/42608336699491,90189-PKT-L,gid://shopify/Refund/974064975971_gid://shopify/LineItem/15213406716003
gid://shopify/Refund/974064975971,#436479,1,0.45,0.04,gid://shopify/LineItem/15213406748771,Shipped Green Carbon Neutral Shipment,SHIPPED_CARBON,gid://shopify/Product/7652067606627,Carbon Offset,gid://shopify/ProductVariant/42835557843043,SHIPPED_CARBON,gid://shopify/Refund/974064975971_gid://shopify/LineItem/15213406748771
gid://shopify/Refund/971920310371,#437416,1,39.99,3.8,gid://shopify/LineItem/15220610564195,Black Harem Pants,90105-PKT-M,gid://shopify/Product/6799865839715,Pants,gid://shopify/ProductVariant/41633977827427,90105-PKT-M,gid://shopify/Refund/971920310371_gid://shopify/LineItem/15220610564195
gid://shopify/Refund/971920310371,#437416,1,0.0,0.0,gid://shopify/LineItem/15220610531427,Vintage Wash Bondi Harem Pants,90172-PKT-M,gid://shopify/Product/7035440693347,Pants,gid://shopify/ProductVariant/41427629408355,90172-PKT-M,gid://shopify/Refund/971920310371_gid://shopify/LineItem/15220610531427
gid://shopify/Refund/974065926243,#437993,1,36.99,2.4,gid://shopify/LineItem/15223492051043,Master Healer 3mm Healing Necklace,3HLN006,gid://shopify/Product/7621375754339,Necklace,gid://shopify/ProductVariant/42717099360355,3HLN006,gid://shopify/Refund/974065926243_gid://shopify/LineItem/15223492051043
gid://shopify/Refund/974065926243,#437993,1,0.0,0.0,gid://shopify/LineItem/15223492083811,Master Healer 3mm Healing Necklace,3HLN006,gid://shopify/Product/7621375754339,Necklace,gid://shopify/ProductVariant/42717099360355,3HLN006,gid://shopify/Refund/974065926243_gid://shopify/LineItem/15223492083811
gid://shopify/Refund/969244606563,EEXC#429012,1,0.0,0.0,gid://shopify/LineItem/15273737191523,Seaside Spice Nomad Jumpsuit,81196C-ADJ-L,gid://shopify/Product/7600332046435,Romper,gid://shopify/ProductVariant/42640212263011,81196C-ADJ-L,gid://shopify/Refund/969244606563_gid://shopify/LineItem/15273737191523
gid://shopify/Refund/969126838371,#440597,1,24.99,0.0,gid://shopify/LineItem/15299745874019,Black Boyfriend Button Up,85105C1-S,gid://shopify/Product/6898267291747,Tops,gid://shopify/ProductVariant/40288912900195,85105C1-S,gid://shopify/Refund/969126838371_gid://shopify/LineItem/15299745874019
gid://shopify/Refund/968629551203,#440837,1,43.99,0.0,gid://shopify/LineItem/15305319972963,Stone Cotton Cabana Pants,98125C-PCKT-PET-S,gid://shopify/Product/7163724333155,Pants,gid://shopify/ProductVariant/41367216259171,98125C-PCKT-PET-S,gid://shopify/Refund/968629551203_gid://shopify/LineItem/15305319972963
gid://shopify/Refund/969056944227,#441263,1,44.99,3.48,gid://shopify/LineItem/15323475148899,Black Wide Leg Drawstring Pants,98105TR-L,gid://shopify/Product/7021320896611,Pants,gid://shopify/ProductVariant/40763801665635,98105TR-L,gid://shopify/Refund/969056944227_gid://shopify/LineItem/15323475148899
gid://shopify/Refund/974066221155,#441483,1,26.39,1.84,gid://shopify/LineItem/15331702964323,Master Healer 4mm Healing Necklace,21078,gid://shopify/Product/4704192397411,Necklace,gid://shopify/ProductVariant/40387687743587,21078,gid://shopify/Refund/974066221155_gid://shopify/LineItem/15331702964323
