order_id,delivery_id,ship_date,scheduled_date,invoice_id,invoice_number,invoice_amount_residual,due_date,channel,payment_terms,invoice_move_id,payment_ids,total_paid,amount_residual
S03458,113813,2025-01-23 17:22:03,2025-04-01 21:00:00,729350,INV/2025/00168,707.46,2025-01-23 17:22:03,Wholesale,Due on Ship,,[],0.0,707.46
S03794,119439,2025-02-13 19:27:03,2025-02-15 03:00:00,765413,INV/2025/00484,5881.19,2025-03-30 19:27:03,Wholesale,45 Days,,[],0.0,5881.19
S03448,113839,2025-02-19 22:07:26,2025-02-20 22:00:00,774754,INV/2025/00590,620.64,2025-03-21 22:07:26,Wholesale,30 Days,,[],0.0,620.64
S02914,79560,2025-02-10 16:01:53,2025-02-03 21:00:00,778837,INV/2025/00616,43476.0,2025-03-27 16:01:53,Wholesale,45 Days,,[],0.0,43476.0
#Q3A87DEAAJ,122277,2025-02-24 15:53:09,2025-02-24 15:53:02,781824,INV/2025/00627,61.94,2025-03-26 15:53:09,Faire,30 Days,,[],0.0,61.94
#J54XM2QPZ5,122295,2025-02-24 16:36:55,2025-02-24 16:36:49,783286,INV/2025/00632,120.15,2025-03-26 16:36:55,Faire,30 Days,,[],0.0,120.15
#5CRTEJT53Y,115835,2025-02-24 20:26:47,2025-02-25 01:15:54,784656,INV/2025/00639,540.61,2025-03-26 20:26:47,Faire,30 Days,,[],0.0,540.61
#RGJ6BVPM78,115660,2025-02-24 21:43:17,2025-02-24 12:12:20,784780,INV/2025/00645,1371.57,2025-03-26 21:43:17,Faire,30 Days,,[],0.0,1371.57
#B85RG5FC9J,115818,2025-02-28 18:52:50,2025-03-01 05:00:00,793690,INV/2025/00713,2153.96,2025-03-30 18:52:50,Faire,30 Days,,[],0.0,2153.96
#YA4TQYXMPH,115821,2025-02-28 18:54:31,2025-02-28 12:59:59,793692,INV/2025/00714,95.53,2025-03-30 18:54:31,Faire,30 Days,,[],0.0,95.53
#PS2VTGP85E,123467,2025-02-28 18:55:57,2025-02-28 18:55:45,793694,INV/2025/00715,125.09,2025-03-30 18:55:57,Faire,30 Days,,[],0.0,125.09
#UMC4KV6Z7T,115306,2025-03-03 20:59:19,2025-03-04 13:12:02,799415,INV/2025/00734,752.8,2025-04-02 20:59:19,Faire,30 Days,,[],0.0,752.8
S03776,126611,2025-03-13 16:28:51,2025-03-13 16:26:54,800687,INV/2025/00743,2572.62,2025-04-12 16:28:51,Wholesale,30 Days,,[],0.0,2572.62
#CRV4UYT77W,116056,2025-03-05 17:09:24,2025-03-10 12:59:59,803012,INV/2025/00756,91.13,2025-04-04 17:09:24,Faire,30 Days,,[],0.0,91.13
#QB5S37G9WC,116010,2025-03-05 17:17:31,2025-03-10 12:59:59,803014,INV/2025/00757,33.08,2025-04-04 17:17:31,Faire,30 Days,,[],0.0,33.08
#YFEBGYMKXS,116071,2025-03-05 17:34:59,2025-03-10 12:59:59,803021,INV/2025/00760,32.91,2025-04-04 17:34:59,Faire,30 Days,,[],0.0,32.91
#9WEFR4MKVY,124502,2025-03-05 22:34:33,2025-03-06 01:34:58,803366,INV/2025/00774,441.05,2025-04-04 22:34:33,Faire,30 Days,,[],0.0,441.05
#U2DUQ3R6HH,119308,2025-03-06 17:28:22,2025-02-13 08:00:00,805063,INV/2025/00776,557.77,2025-04-05 17:28:22,Faire,30 Days,,[],0.0,557.77
