item_id,continue_selling,default_code,is_listed,listing,marketplace_id,sale_price,created_on,last_updated
10120,True,10917,True,"""Create Your Own Sunshine"" Goddess Bracelet",41457405296739,24.99,2024-03-25 05:44:19,2025-03-20 23:34:08
10122,True,22012,True,"""Create Your Own Sunshine"" Goddess Necklace",41457598431331,34.0,2024-03-25 05:44:21,2025-03-18 21:24:31
10124,True,109GDB-S24-01,True,"""Good Things Are Coming"" Goddess Bracelet",41457523654755,24.99,2024-03-25 05:44:22,2025-03-20 21:32:08
10130,True,10923,True,"""Just Breathe"" Goddess Bracelet",41457401462883,24.99,2024-03-25 05:44:25,2025-03-20 16:44:45
10131,True,10924,True,"""Live Bright. Be Bold"" Goddess Bracelet",41202272796771,24.99,2024-03-25 05:44:27,2025-03-20 18:33:34
10132,True,10920,True,"""Live by the Sun, Love by the Moon"" Goddess Bracelet",39723693801571,24.99,2024-03-25 05:44:29,2025-03-19 18:21:12
10133,True,22015,True,"""Live by the Sun, Love by the Moon"" Goddess Necklace",41457604984931,34.0,2024-03-25 05:44:34,2025-03-20 19:12:23
10136,True,109GDB-S24-02,True,"""Make Waves"" Goddess Bracelet",41457519493219,24.99,2024-03-25 05:44:37,2025-03-21 02:32:23
10141,True,10918,True,"""Stay Wild, Moon Child"" Goddess Bracelet",41457410834531,24.99,2024-03-25 05:44:43,2025-03-20 21:32:08
10142,True,22017,True,"""Stay Wild, Moonchild"" Goddess Necklace",41457610063971,28.9,2024-03-25 05:44:45,2025-03-18 17:16:59
10144,True,109GDB-S24-03,True,"""Trust the Universe"" Goddess Bracelet",41457496064099,24.99,2024-03-25 05:44:46,2025-03-13 20:34:22
10145,True,10916,True,"""Trust the Universe"" Goddess Bracelet",41202274009187,24.99,2024-03-25 05:44:50,2025-03-13 20:34:22
10147,True,22016,True,"""Trust the Universe"" Goddess Necklace",41457616748643,27.2,2024-03-25 05:44:53,2025-03-18 17:43:14
10148,True,109GDB-F23-01,True,"""You Are Loved"" Goddess Bracelet",41457528832099,24.99,2024-03-25 05:44:54,2025-03-10 20:45:37
10149,True,MB-100,True,$100 Mystery Bundle,138595893272,100.0,2024-03-25 05:44:54,2025-03-10 20:45:37
10150,True,MB-30,True,$30 Mystery Bundle,138589536280,30.0,2024-03-25 05:44:58,2025-03-10 20:45:37
10151,True,MB-50,True,$50 Mystery Bundle,138591830040,50.0,2024-03-25 05:45:03,2025-03-10 20:45:37
10157,True,BUN-23001-21073-11012-03,True,2mm + 4mm Master Healer Necklace Stack,40874289922147,105.99,2024-03-25 05:45:11,2025-03-21 03:12:52
10158,True,BUN-23005-21078-11018-03,True,2mm + 4mm Master Healer Necklace Stack,40874289954915,105.99,2024-03-25 05:45:11,2025-03-21 03:12:52
10166,True,11006,True,African Jasper Bracelet,41460569833571,24.99,2024-03-25 05:45:36,2025-03-19 18:21:12
10180,True,50130,True,Aguadilla Kimono Cover Up,41202264309859,45.0,2024-03-25 05:45:53,2025-03-19 15:14:35
10190,True,BST-02-WISDM-S-01,True,Wisdom 2mm + 4mm Bracelet Stack,41183173017699,50.99,2024-03-25 05:46:09,2025-03-21 02:44:00
10191,True,93130,True,Aguadilla Shorts,40047780036707,32.0,2024-03-25 05:46:10,2025-03-17 17:25:05
10195,True,NST-02-WISDM-S-01,True,Wisdom 2mm + Moonstone Necklace Stack,41183185895523,72.99,2024-03-25 05:46:13,2025-03-21 03:12:52
10204,True,420HLB-S24-03,True,Wisdom 2mm Metal Accent Healing Bracelet,41097471590499,29.99,2024-03-25 05:46:17,2025-03-14 20:35:56
10205,True,230HLN-S24-05,True,Wisdom 2mm Metal Accent Healing Necklace,41097257189475,49.99,2024-03-25 05:46:20,2025-03-14 20:35:56
10207,True,420HLB-S24-06,True,Aloha State of Mind 2mm Metal Accent Healing Bracelet,41457356898403,29.99,2024-03-25 05:46:22,2025-03-20 16:44:58
10208,True,410HLB-S24-03,True,Wisdom 4mm Metal Accent Healing Bracelet,41122218508387,24.0,2024-03-25 05:46:23,2025-03-20 17:23:21
10209,True,410HLB-S24-10,True,Aloha State of Mind 4mm Metal Accent Healing Bracelet,41457358995555,24.0,2024-03-25 05:46:23,2025-03-20 20:03:24
10210,True,11008,True,Amazonite Bracelet,41202276532323,24.99,2024-03-25 05:46:24,2025-03-14 20:35:56
10211,True,104HLA-S24-05,True,Wisdom Healing 2mm Anklet,41202264375395,30.0,2024-03-25 05:46:24,2025-03-14 20:35:56
10212,True,BST-02-WISDM-S-02,True,"Wisdom, Intuition, and Inner Peace Bracelet Stack",41183153848419,45.99,2024-03-25 05:46:26,2025-03-21 02:44:00
