order_id,tag
S04102,MARCH25_5%Promo
#V25BSHJHN9,Faire
#4M3J3BT923,Faire
S03630,Remote Show Special
S03630,surfexpo_Jan25
#WZZUA4Y8QX,Faire
#SRCGBDK8HP,Faire
#DNZUEGXSFA,Faire
S04122,MARCH25_5%Promo
S03542,surfexpo_Jan25
#UBVSVDPBPK,Faire
#J4C2WHDF5N,Faire
#TZF9EJWTRH,Faire
#H567M2TWCV,Faire
#FZWBU2UVMN,Faire
#M4WQT4THRD,Faire
#R5NCRER74F,Faire
#PHN2V5S64J,Faire
#EG56BCBX9B,Faire
#3B9UFD266S,Faire
#TNGD45BHDX,Faire
#9FPWHVFBYU,Faire
S04223,SAMPLE PACK
#88JKFS4N3E,Faire
#DW3EPRTGCU,Faire
#P5CYZPCCQD,Faire
#73ZMVE34YN,Faire
#QYKCPKW7WJ,Faire
#YVFEJ7KK7U,Faire
#2F7UJFCP5P,Faire
#3QMXM8ZSK6,Faire
#4PWSZ9RMVT,Faire
#4PWSZ9RMVT,NEW ACCOUNT
#U9H44RJ94Y,Faire
#M7DX5Q9MTN,Faire
#Y6YECQYAP2,Faire
#8A7CXZM8ZJ,Faire
#BBHTZP9AC8,Faire
#4ECM38ZJRP,Faire
#Q2KRHB8JCN,Faire
#7M6GX86MXN,Faire
S04221,NEW ACCOUNT
#6T2N28T7HC,Faire
#DAT53JVWMD,Faire
#DAT53JVWMD,NEW ACCOUNT
#9WJT873R6E,Faire
#A47K4G8GZZ,Faire
#A47K4G8GZZ,survey2025
#8DXMUV6MYY,Faire
#XSUA23XS6P,Faire
#XNTHW2EE5T,Faire
#VU6S5ZXUT7,Faire
#YXG2A78A9S,Faire
S04093,REP SAMPLES
S04213,APPAREL
#ERYGYQKGQZ,Faire
#NCTNSHQVKT,Faire
#BVEUS5WPDH,Faire
#FBCWVJ4GCB,Faire
#GSACHDTA9A,Faire
#QF7BBH9Q7W,Faire
#2XSYJJHT84,Faire
#3EJ4G847WM,Faire
#MUM778ZJ3H,Faire
#9PPZK43H29,Faire
#UBPSN5FKGA,Faire
#H2QFGKZVMP,Faire
#9BKR3Q9RRP,Faire
#QMW9PYRW3Y,Faire
#DVEKDVZKEN,Faire
#AM8UG265HP,Faire
S04212,JEWELRY
S03411,surfexpo_Jan25
S04208,SAMPLE PACK
S03372,surfexpo_Jan25
S04158,REP SAMPLES
#6WJP6469WQ,Faire
#K95SUG46JK,Faire
#YXEBQBY92J,Faire
#YQ8QZ7ERXV,Faire
#75FWESNWE8,Faire
#K5HE4EUYM7,Faire
#67Z3KA6JT4,Faire
#AXTN4J4XNA,Faire
#YGG6ZAFBHT,Faire
#JNTNBUN9J4,Faire
#H3HJ29XEEB,Faire
S04171,JEWELRY
S04162,survey2025
S04164,SAMPLE PACK
S04163,survey2025
S04155,survey2025
#TQBPP86QFT,Faire
#FSCDVQ8ANU,Faire
#2JQHHAMK8M,Faire
#2D6A7PRYAG,Faire
#UGFKNVSTZP,Faire
#DZ9HQU6NG7,Faire
#3MMQ2ZNZXU,Faire
#78GWHA7A98,Faire
#AVCR6T7GTT,Faire
#S9ZGGK66SF,Faire
#DJKBKB2XMG,Faire
S03962,NEW ACCOUNT
S04151,survey2025
S03605,surfexpo_Jan25
S04150,APPAREL
S04042,new door
#NJKR232FNZ,Faire
#7WAMUWD32D,Faire
#AGJ99X3RUA,Faire
#CS8FGDSANT,Faire
#XXQTGY8DRM,Faire
#ARA7QQQYBP,Faire
#JREP9UVJMY,Faire
#E496PAWTYB,Faire
#PGPRXZDK8G,Faire
#AR48QYQXB2,Faire
#AV7274YK65,Faire
#25JX3RZ8P8,Faire
#X37JFC95M8,Faire
#WFGBQMUXPP,Faire
#6DMG8N8QGZ,Faire
#VR5RYUDKCW,Faire
#3MJVF2XZTK,Faire
S04146,BUYER GIFT
S04142,NEW ACCOUNT
#PDW69ZP6EQ,Faire
#T4Q6BNTADT,Faire
#E832RGG9MF,Faire
#5TNRFY2KTP,Faire
#EEEGECVDST,Faire
#9DNDYVUU6M,Faire
#R6SQ546AYY,Faire
#PYQTAB66UD,Faire
#3JVMBWVMDF,Faire
#Z2N6TCHTN7,Faire
#WTTDPPHJ7M,Faire
S04132,MARCH25_5%Promo
#YW55YU668F,Faire
#HV9M5NKJUR,Faire
#QMNX68PVY2,Faire
#CMXZ8WFYEG,Faire
#GQRAFPRXX6,Faire
#SZT8ARB4UF,Faire
#R2XKUXMWPP,Faire
#YG6VJQ6X82,Faire
#EU3GB8UB92,Faire
#XKT7PSQAW4,Faire
#WMKWCPKDQN,Faire
#V2C2X6498Q,Faire
#ZNQ2YF8YFH,Faire
#Q9AFCRUZTS,Faire
S04119,new door
S04117,SAMPLE PACK
S04116,SAMPLE PACK
S04115,SAMPLE PACK
S04112,MARCH25_5%Promo
#UBRYV2G32A,Faire
#87EZNABMU4,Faire
#WYKCV34Z63,Faire
#WPHJZB749T,Faire
#T7UX6C5EH6,Faire
#3NG6WAVJC9,Faire
#MEGM65FVMQ,Faire
S03556,surfexpo_Jan25
#S2KBQJ5C9E,Faire
S04110,MARCH25_5%Promo
S04106,MARCH25_5%Promo
#3YTW6CN99D,Faire
#FPXC26PQRQ,Faire
#6ETGHXG36E,Faire
#2J5JF5A5AX,Faire
#GGTE6CXNE9,Faire
S04062,MARCH25_5%Promo
S04108,MARCH25_5%Promo
S04105,MARCH25_5%Promo
#7XCTXZGB6A,Faire
#3XD2W2SMR8,Faire
#K45GEMZUJA,Faire
#JC74Y8M2K2,Faire
#W6DZMXJJHY,Faire
#4U3SM3PFA7,Faire
#5AWC4X8GUS,Faire
#99EDKZJMVP,Faire
S04095,new door
S04046,SAMPLE PACK
S04054,MARCH25_5%Promo
#SJYJ9D8VWJ,Faire
#KTGNCBVGT4,Faire
#HWH3JFDY2M,Faire
#D3AGYWPVN7,Faire
#7SYP23AH8K,Faire
#T3WESP965P,Faire
S04043,MARCH25_5%Promo
S04063,SWAG
S04056,MARCH25_5%Promo
S04061,MARCH25_5%Promo
S03988,MARCH25_5%Promo
#9K7779WSCZ,Faire
#PXUDDBTX2E,Faire
#Z6D84Y99RB,Faire
#6NCAMDTPUY,Faire
#AWSD2GMDW4,Faire
#HEF3TRF3VR,Faire
#PF3YEN7ENQ,Faire
#S3U9QS35RM,Faire
#MTETVMTZ88,Faire
#U5Z4VFG33S,Faire
#U5Z4VFG33S,MARCH25_5%Promo
#8GW4K4X9SM,Faire
#R3RMHAGQDR,Faire
#2CV7MDA8PE,Faire
#6VVKHCBDJ3,Faire
#N86FDHKJEK,Faire
#HMCY8XT4DR,Faire
#R7CD4N3VVE,Faire
#KZHYGT3JH3,Faire
#ZY23VETNA2,Faire
#GM2JDYGQPN,Faire
#6MDUX3X3JU,Faire
#Q9VGUBR5J8,Faire
#KZDTY3XC92,Faire
#KMHPR4A2B2,Faire
#7484ANFDY3,Faire
#WQGYG4C59R,Faire
#DEAN4WWSE6,Faire
#8SHGB8S6ZT,Faire
#5M3HPVXMA4,Faire
#CTHH84EMSW,Faire
#T932FJAY3T,Faire
#5BJKCBQXGP,Faire
S04051,MARCH25_5%Promo
S04050,MARCH25_5%Promo
S04049,MARCH25_5%Promo
S04047,SAMPLE PACK
#D5FENFDMRW,Faire
#JGM6H22NGD,Faire
#N86827K236,Faire
#KEDPFGJMEC,Faire
#4CJQKJZK35,Faire
#3Q5XZ3XE4Y,Faire
#7TJ4ZTV9PM,Faire
#H69EYTUM64,Faire
#96STFTCQEH,Faire
#B5USSMYC49,Faire
#K44NTDZGET,Faire
#PZ4UEHEA6G,Faire
#E55ATKVVTG,Faire
#K2X3SXDXP4,Faire
#3NHNTCDV29,Faire
#3NHNTCDV29,Surf Expo
#VAC7YMKDMZ,Faire
#UHS7424QXK,Faire
#Y3G3VTRS7Z,Faire
#TNZU5QJVVY,Faire
#MHVD5GT92J,Faire
S04039,JEWELRY
S04038,JEWELRY
S04037,JEWELRY
S04036,JEWELRY
S04034,JEWELRY
S04033,JEWELRY
S04032,JEWELRY
S04030,JEWELRY
S04031,JEWELRY
S04029,JEWELRY
S04035,JEWELRY
S04040,MARCH25_5%Promo
#2KRZVWUHDE,Faire
#F8BAND6FQ8,Faire
#W7UMPXVG8D,Faire
#FQK3K2ESC7,Faire
#F6B9H2TJUN,Faire
#NY5X8GJD3N,Faire
S03998,MARCH25_5%Promo
S03997,MARCH25_5%Promo
S03996,MARCH25_5%Promo
S03990,MARCH25_5%Promo
S03992,JEWELRY
S03991,NEW ACCOUNT
S03991,APPAREL
#N24SXPVRG9,Faire
#PY8SMGGXDK,Faire
#MNG9XAXR86,Faire
#ZVX5K6KKWE,Faire
#CGUE7M78MT,Faire
#Y7QQCUT2EQ,Faire
#T7Y895BC6X,Faire
#4D42UFKE9Q,Faire
#4WBGMFZJW5,Faire
S03320,Faire
S03320,surfexpo_Jan25
#G5FT6XV5CN,Faire
#VEFQ8PHBCR,Faire
#PXSU7AP7Q7,Faire
#NSJ5UV2QM9,Faire
#38G63XCWEA,Faire
#KB4QCUXFPT,Faire
#WSCJRJD7VC,Faire
#4BAHDFQUEQ,Faire
S03984,MARCH25_5%Promo
S03985,MARCH25_5%Promo
S03985,MARCH25_5%Promo
S03973,MARCH25_5%Promo
#UAR4TPBJMD,Faire
S03831,MAGICLV_Feb25
#KW56GG3RHF,Faire
#QWDNP7QFZF,Faire
#SYJ6VE4XJV,Faire
#RMSBN8TT6Q,Faire
#UFRF3PWFEE,Faire
S03981,JEWELRY
#RNANVPBEYZ,Faire
#5YWTR5E6EX,Faire
#QK6G4KH4VA,Faire
#34NC5GWHH5,Faire
#P3BC5D3YED,Faire
#6KQW9YUVWM,Faire
#437B3JYFPF,Faire
S03979,MARCH25_5%Promo
#CACZXNBMDZ,Faire
#NKNBSUHJU4,Faire
#UF6PKV8GJW,Faire
#NEVARREB9A,Faire
#FB9HMGVR75,Faire
#CD7GWD82EU,Faire
#87YFECD7KC,Faire
#VE8TBCD6DW,Faire
#S8RQWWXZDF,Faire
#SNBMV7BAQN,Faire
#C4D8SQQ3PB,Faire
#8E2ZA4JDNC,Faire
#BUXP4U58DD,Faire
#UTN8EG5AF4,Faire
#BPYXMHA48Y,Faire
#KPRC6K3A5Q,Faire
#A7G4NFPYDX,Faire
#FYGCR7FXSW,Faire
#8CTXYY55AP,Faire
S03966,new door
#CTQ4GW847C,Faire
#U7EHZW8VQE,Faire
#7SC7BXP26V,Faire
#U7RZVV3X2B,Faire
#NVH3S38U8F,Faire
#2CGPBSQ3X7,Faire
#EF43GQW7FB,Faire
#62PTHZRHX7,Faire
S02828,SURFEXPO_Sept24
S03946,MARCH25_5%Promo
S03452,surfexpo_Jan25
S03960,NEW ACCOUNT
S03311,surfexpo_Jan25
S03460,surfexpo_Jan25
S03626,surfexpo_Jan25
S03589,Remote Show Special
S03589,surfexpo_Jan25
#3EBC8UYEPX,Faire
#2H3JGHJ6BU,Faire
#4X8XWQNJMZ,Faire
#RTZSYZ5WTP,Faire
#U2FQBKNSYK,Faire
#TFX5WGQHX5,Faire
#JUGQFG7FCK,Faire
S03713,MARCH25_5%Promo
#3DRY65TZEV,Faire
S03944,MARCH25_5%Promo
#CUXE4QVSMK,Faire
S03961,MARCH25_5%Promo
#UNRDB8REK3,Faire
#XQU9PTGM8X,Faire
#B7K88UBAXD,Faire
#632Y9HC5H7,Faire
#JPBWCTFZFY,Faire
#HHV3QT6JZY,Faire
#7E6R7DVPCW,Faire
#7PG6VQWGCH,Faire
#QQPZTCUD2B,Faire
#CE3MU982EG,Faire
#VBQVMXXS4E,Faire
#SEP69BBNPV,Faire
S03942,NEW ACCOUNT
S03954,MARCH25_5%Promo
S03951,SAMPLE PACK
#MBQYMEU5G5,Faire
#GU5NVRS6AV,Faire
#2Y2E2SPPJN,Faire
#SMWGF8XU5C,Faire
#6M8FNU2AEK,Faire
#RMQASN5H7U,Faire
#2EFQVASEN7,Faire
#37862M3W8T,Faire
#KWS93V822A,Faire
#ZARGSXY626,Faire
#69FCRBSYZK,Faire
#DTKK9U2C2T,Faire
#KJAQ9BDRMW,Faire
#863JPKRWBT,Faire
#863JPKRWBT,new door
#GBHN5V4HTH,Faire
#2M45FV8KWR,Faire
#WDADQMFQ6M,Faire
#C494SEC35K,Faire
#AR8U9V5YT2,Faire
#CBPZYCQDBF,Faire
#SMSM9NGCRA,Faire
#BSRF86N8YN,Faire
#M9C2BEWJ6Y,Faire
#C2Y6ZQ2CX5,Faire
#3QR474QB2P,Faire
#M8RA3CPACB,Faire
#8SMYDBQHC4,Faire
#XXZ8XT2F3S,Faire
S03346,surfexpo_Jan25
S03591,surfexpo_Jan25
S03410,surfexpo_Jan25
S03627,Remote Show Special
#V7FR3SR76T,Faire
#A4DRZF95AN,Faire
#ZGRWUBBV59,Faire
#YRBZGSKJ9C,Faire
#FWJTMRH9MF,Faire
#PMT9TSHMT8,Faire
#ZCYG36REDT,Faire
#Y8K6APD8PF,Faire
#AGZAR4M3WD,Faire
#6DUH8WTQ2F,Faire
#C3TGCGNUT2,Faire
#4FDW3KEVE6,Faire
#KPNAHBU6E4,Faire
#AHPNHZ8MNU,Faire
#HT5BCFN8YB,Faire
#QGFJTKN7WY,Faire
#FGDAZ2W5QA,Faire
S03935,JEWELRY
#Y6ETDXZYCU,Faire
S03601,surfexpo_Jan25
S03802,MAGICLV_Feb25
S03420,surfexpo_Jan25
#9REQEYKEKT,Faire
#4S4Q8ZBXAR,Faire
#2GACC5837X,Faire
#E95MFAXPA3,Faire
#N2MHR7APUP,Faire
#SH4GUF6TNB,Faire
#VSJRS3DWY8,Faire
S03928,JEWELRY
S03927,JEWELRY
S03922,JEWELRY
S03597,surfexpo_Jan25
S03604,surfexpo_Jan25
S03918,REP SAMPLES
S03537,surfexpo_Jan25
S03538,surfexpo_Jan25
#Z3NZ5ZHYVM,Faire
#MKFGJQWPMX,Faire
#BJBE4D9TET,Faire
#XXYRBKEGBZ,Faire
#6UDC5TPGFW,Faire
#65PCD9GF3N,Faire
#QGR48NCVEG,Faire
#ARYPX6DX64,Faire
#6VSY95MCHX,Faire
#K7J59USNR3,Faire
#A8DTSGE4EU,Faire
#X92Y9QUG3T,Faire
#TT8PPSCZGU,Faire
#QY6WA4AAWY,Faire
#4CB8DJ2N8S,Faire
#GRPR99FWRT,Faire
#GRPR99FWRT,NEW ACCOUNT
#W8PY78U8MD,Faire
#QNR58U6HJ7,Faire
#EKF8S34BMB,Faire
#6QNK6XM6XZ,Faire
#ZTXM3YB4VC,Faire
S03911,SAMPLES
S03527,surfexpo_Jan25
S03528,surfexpo_Jan25
S03476,surfexpo_Jan25
#HWT5YJMWMJ,Faire
#VP75WJ63TH,Faire
#4YWGY2K7PW,Faire
#H3NG57YEMV,Faire
#UBQNGFJWDH,Faire
#7D5QAF6S6K,Faire
#H7R23XYMQS,Faire
