refund_id,order_id,created_at,processed_at,updated_at,total_refunded,refund_amount,sale_id,product_title,gross_returns,discounts_returned,shipping_returned,taxes_returned,return_fees,net_returns,total_returns
gid://shopify/Refund/969254404195,#393191,2025-01-10 17:20:28,2025-01-10 17:20:29,2025-01-10 17:20:29,0.0,0.0,#393191,Master Healer 2mm Metal Accent Healing Anklet,23.99,0.0,0.0,2.01,0.0,23.99,26.0
gid://shopify/Refund/970337452131,#402290,2025-01-17 22:32:59,2025-01-17 22:32:59,2025-01-17 22:32:59,0.0,0.0,#402290,Mystery Harem Pants,17.78,0.0,0.0,1.69,0.0,17.78,19.470000000000002
gid://shopify/Refund/970337812579,#424346,2025-01-17 22:34:30,2025-01-17 22:34:30,2025-01-17 22:34:30,0.0,0.0,#424346,Oxford Castaway Jogger Pant,39.98,0.0,0.0,0.0,0.0,39.98,39.98
gid://shopify/Refund/967786725475,#424621,2025-01-02 15:42:30,2025-01-02 15:42:30,2025-01-02 15:42:30,0.0,0.0,#424621,"Rainforest Harem Pants, Emerald Isle Harem Pants",54.98,0.0,0.0,0.0,0.0,54.98,54.98
gid://shopify/Refund/970337583203,#427724,2025-01-17 22:33:38,2025-01-17 22:33:38,2025-01-17 22:33:38,0.0,0.0,#427724,Nosara Harem Pants,27.99,0.0,0.0,2.23,0.0,27.99,30.22
gid://shopify/Refund/970337058915,#428093,2025-01-17 22:31:03,2025-01-17 22:31:04,2025-01-17 22:31:04,0.0,0.0,#428093,Emerald Isle Harem Pants,27.99,0.0,0.0,0.0,0.0,27.99,27.99
gid://shopify/Refund/968481931363,#430694,2025-01-06 21:51:23,2025-01-06 21:51:24,2025-01-06 21:51:24,0.0,0.0,#430694,Aqua Baja Pullover,49.99,0.0,0.0,2.59,0.0,49.99,52.58
gid://shopify/Refund/975666151523,#432812,2025-03-04 18:22:51,2025-03-04 18:22:51,2025-03-04 18:22:51,58.97,58.97,#432812,Sage Cotton Cabana Pants,54.99,0.0,0.0,3.98,0.0,54.99,58.97
gid://shopify/Refund/974065205347,#434197,2025-02-18 16:48:48,2025-02-18 16:48:48,2025-02-18 16:48:48,37.94,37.94,#434197,Tidal Harem Pants,31.99,0.0,0.0,0.0,0.0,31.99,31.99
gid://shopify/Refund/967858684003,#434363,2025-01-02 19:54:27,2025-01-02 19:54:27,2025-01-02 19:54:27,50.94,50.94,#434363,Nutmeg Cotton Cabana Pants,44.99,0.0,0.0,0.0,0.0,44.99,44.99
gid://shopify/Refund/974061928547,#435827,2025-02-18 16:31:25,2025-02-18 16:31:26,2025-02-18 16:31:26,37.94,37.94,#435827,Black Harem Pants,31.99,0.0,0.0,0.0,0.0,31.99,31.99
gid://shopify/Refund/974064975971,#436479,2025-02-18 16:47:54,2025-02-18 16:47:54,2025-02-18 16:47:54,49.87,49.87,#436479,"Sicily Harem Pants, Carmel Harem Pants, Shipped Green Carbon Neutral Shipment",40.440000000000005,0.0,0.0,3.04,0.0,40.440000000000005,43.480000000000004
gid://shopify/Refund/971920310371,#437416,2025-01-30 00:35:08,2025-01-30 00:35:08,2025-01-30 00:35:08,0.0,0.0,#437416,"Black Harem Pants, Vintage Wash Bondi Harem Pants",39.99,0.0,0.0,3.8,0.0,39.99,43.79
gid://shopify/Refund/974065926243,#437993,2025-02-18 16:52:35,2025-02-18 16:52:36,2025-02-18 16:52:36,45.73,45.73,#437993,"Master Healer 3mm Healing Necklace, Master Healer 3mm Healing Necklace",36.99,0.0,0.0,2.4,0.0,36.99,39.39
gid://shopify/Refund/969244606563,EEXC#429012,2025-01-10 16:29:16,2025-01-10 16:29:17,2025-01-10 16:29:17,0.0,0.0,EEXC#429012,Seaside Spice Nomad Jumpsuit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gid://shopify/Refund/969126838371,#440597,2025-01-09 21:34:16,2025-01-09 21:34:16,2025-01-09 21:34:16,19.04,19.04,#440597,Black Boyfriend Button Up,24.99,0.0,0.0,0.0,0.0,24.99,24.99
gid://shopify/Refund/968629551203,#440837,2025-01-07 17:45:37,2025-01-07 17:45:37,2025-01-07 17:45:37,39.65,39.65,#440837,Stone Cotton Cabana Pants,43.99,0.0,0.0,0.0,0.0,43.99,43.99
gid://shopify/Refund/969056944227,#441263,2025-01-09 17:07:30,2025-01-09 17:07:31,2025-01-09 17:07:31,44.58,44.58,#441263,Black Wide Leg Drawstring Pants,44.99,0.0,0.0,3.48,0.0,44.99,48.47
gid://shopify/Refund/974066221155,#441483,2025-02-18 16:54:08,2025-02-18 16:54:11,2025-02-18 16:54:11,34.6,34.6,#441483,Master Healer 4mm Healing Necklace,26.39,0.0,0.0,1.84,0.0,26.39,28.23
gid://shopify/Refund/969600139363,#441548,2025-01-13 18:14:22,2025-01-13 18:14:24,2025-01-13 18:14:24,38.05,38.05,#441548,Carmel Harem Pants,39.99,0.0,0.0,2.4,0.0,39.99,42.39
gid://shopify/Refund/970285973603,#441584,2025-01-17 18:15:55,2025-01-17 18:15:55,2025-01-17 18:15:55,0.0,0.0,#441584,"Santa Barbara Island Harem Pants, Baja Harem Pants",79.98,0.0,0.0,6.6,0.0,79.98,86.58
gid://shopify/Refund/969918972003,#441636,2025-01-15 16:15:46,2025-01-15 16:15:46,2025-01-15 16:15:46,115.22,115.22,#441636,"Celestial Grey Lounge Set, Onyx Cropped Yin Scoop Neck Top",119.97999999999999,0.0,0.0,0.0,0.0,119.97999999999999,119.97999999999999
gid://shopify/Refund/969604989027,#441644,2025-01-13 18:34:31,2025-01-13 18:34:32,2025-01-13 18:34:32,79.54,79.54,#441644,"Cosmic Teal Harem Pants, Santa Barbara Island Harem Pants",79.98,0.0,0.0,5.6,0.0,79.98,85.58
gid://shopify/Refund/969600434275,#441830,2025-01-13 18:15:17,2025-01-13 18:15:18,2025-01-13 18:15:18,38.34,38.34,#441830,Baja Harem Pants,39.99,0.0,0.0,2.5,0.0,39.99,42.49
gid://shopify/Refund/967881916515,#441867,2025-01-02 21:12:38,2025-01-02 21:12:38,2025-01-02 21:12:38,34.23,34.23,#441867,Vinca Harem Pants,31.99,0.0,0.0,2.24,0.0,31.99,34.23
gid://shopify/Refund/974065631331,#442058,2025-02-18 16:50:39,2025-02-18 16:50:39,2025-02-18 16:50:39,37.95,37.95,#442058,Black Harem Pants,32.0,0.0,0.0,0.0,0.0,32.0,32.0
gid://shopify/Refund/972498337891,#442251,2025-02-03 23:23:51,2025-02-03 23:23:53,2025-02-03 23:23:53,62.12,62.12,#442251,"Rainforest Harem Pants, Cosmic Teal Harem Pants",63.98,0.0,0.0,4.48,0.0,63.98,68.46
gid://shopify/Refund/969245360227,#442351,2025-01-10 16:32:21,2025-01-10 16:32:21,2025-01-10 16:32:21,72.65,72.65,#442351,"Moon Dancer 3mm Healing Necklace, Positive Energy 3mm Healing Necklace",73.98,0.0,0.0,4.62,0.0,73.98,78.60000000000001
gid://shopify/Refund/969594503267,#442470,2025-01-13 17:55:34,2025-01-13 17:55:35,2025-01-13 17:55:35,38.99,38.99,#442470,Nosara Harem Pants,39.99,0.0,0.0,2.9,0.0,39.99,42.89
gid://shopify/Refund/969647194211,#442476,2025-01-13 21:06:57,2025-01-13 21:06:57,2025-01-13 21:06:57,55.66,55.66,#442476,"Black Harem Pants, Akha Tribal Print Harem Pants",62.0,0.0,0.0,0.0,0.0,62.0,62.0
gid://shopify/Refund/967804551267,#442489,2025-01-02 16:56:59,2025-01-02 16:56:59,2025-01-02 16:56:59,144.03,144.03,#442489,"Black Nomad Jumpsuit, Akha Tribal Print Wide Leg Drawstring Pants, Black Tie Strap Nomad Jumpsuit",136.8,0.0,0.0,12.489999999999998,0.0,136.8,149.29000000000002
gid://shopify/Refund/968483045475,#442576,2025-01-06 21:56:53,2025-01-06 21:56:53,2025-01-06 21:56:53,91.15,91.15,#442576,"Baja Harem Pants, Akha Tribal Print Harem Pants, Nosara Harem Pants, Seven Chakras Harem Pants",95.99,0.0,0.0,3.0,0.0,95.99,98.99
gid://shopify/Refund/969668034659,#442688,2025-01-13 22:30:16,2025-01-13 22:30:16,2025-01-13 22:30:16,105.12,105.12,#442688,"Master Healer 2mm Metal Accent Healing Anklet, Mystic Plum Harem Pants",99.99000000000001,0.0,0.0,5.13,0.0,99.99000000000001,105.12
gid://shopify/Refund/969249292387,#442894,2025-01-10 16:53:38,2025-01-10 16:53:39,2025-01-10 16:53:39,0.0,0.0,#442894,Baja Harem Pants,32.0,0.0,0.0,2.24,0.0,32.0,34.24
gid://shopify/Refund/969917923427,#443027,2025-01-15 16:12:29,2025-01-15 16:12:29,2025-01-15 16:12:29,67.78,67.78,#443027,"Black Daydreamer Top + Harem Pants Set, Black Harem Pants",67.78,0.0,0.0,0.0,0.0,67.78,67.78
gid://shopify/Refund/967832141923,#443029,2025-01-02 18:32:42,2025-01-02 18:32:42,2025-01-02 18:32:42,21.33,21.33,#443029,Yao Tribal Print Harem Pants,23.99,0.0,0.0,1.68,0.0,23.99,25.669999999999998
gid://shopify/Refund/967911211107,#443064,2025-01-02 22:58:32,2025-01-02 22:58:32,2025-01-02 22:58:32,69.17,69.17,#443064,"Black Harem Pants, Black Harem Pants, Black Harem Pants",71.97,0.0,0.0,5.04,0.0,71.97,77.01
gid://shopify/Refund/967901020259,#443085,2025-01-02 22:29:09,2025-01-02 22:29:09,2025-01-02 22:29:09,23.99,23.99,#443085,Nosara Harem Pants,23.99,0.0,0.0,0.0,0.0,23.99,23.99
gid://shopify/Refund/967987855459,#443101,2025-01-03 15:39:24,2025-01-03 15:39:24,2025-01-03 15:39:24,0.0,0.0,#443101,"Santa Barbara Pants Lounge Set, Sausalito Harem Pants",71.98,0.0,0.0,3.4299999999999997,0.0,71.98,75.41
gid://shopify/Refund/969756311651,#443124,2025-01-14 16:14:47,2025-01-14 16:14:47,2025-01-14 16:14:47,97.73,97.73,#443124,"Black Cotton Castaway Pants, Deep Teal Harem Pants, Seven Chakras Harem Pants, Tidal Harem Pants",101.96,0.0,0.0,4.59,0.0,101.96,106.55
gid://shopify/Refund/969592209507,#443408,2025-01-13 17:48:49,2025-01-13 17:48:49,2025-01-13 17:48:49,52.98,52.98,#443408,Master Healer 3mm + 2mm Necklace Stack,56.99,0.0,0.0,4.98,0.0,56.99,61.97
gid://shopify/Refund/968105132131,#443535,2025-01-03 22:08:00,2025-01-03 22:08:01,2025-01-03 22:08:01,0.0,0.0,#443535,Pacific Wide Leg Cotton Pants,32.99,0.0,0.0,0.0,0.0,32.99,32.99
gid://shopify/Refund/967829586019,#443545,2025-01-02 18:30:24,2025-01-02 18:30:24,2025-01-02 18:30:24,47.64,47.64,#443545,Nosara Lounge Set,47.99,0.0,0.0,3.72,0.0,47.99,51.71
gid://shopify/Refund/967855571043,#443548,2025-01-02 19:45:08,2025-01-02 19:45:08,2025-01-02 19:45:08,0.0,0.0,#443548,Pacific Romper,29.99,0.0,0.0,1.8,0.0,29.99,31.79
gid://shopify/Refund/967822966883,#443623,2025-01-02 18:10:40,2025-01-02 18:10:40,2025-01-02 18:10:40,94.85,94.85,#443623,"Sausalito Harem Pants, Nosara Harem Pants, Yao Tribal Print Lounge Set",95.97,0.0,0.0,6.72,0.0,95.97,102.69
gid://shopify/Refund/969601089635,#443683,2025-01-13 18:18:50,2025-01-13 18:18:50,2025-01-13 18:18:50,89.03,89.03,#443683,"Sage Cotton Shorts, Sage Boyfriend Button Up, Cream Shipwrecked Maxi Skirt",89.97,0.0,0.0,5.4,0.0,89.97,95.37
gid://shopify/Refund/969756409955,#443749,2025-01-14 16:15:41,2025-01-14 16:15:41,2025-01-14 16:15:41,0.0,0.0,#443749,Cosmic Teal Harem Pants,23.99,0.0,0.0,0.0,0.0,23.99,23.99
gid://shopify/Refund/973716160611,#443857,2025-02-14 13:10:24,2025-02-14 13:10:25,2025-02-14 13:10:25,0.0,0.0,#443857,"Seaside Spice Wide Leg Cotton Pants, Black Harem Pants",56.980000000000004,0.0,0.0,3.56,0.0,56.980000000000004,60.540000000000006
gid://shopify/Refund/969244508259,#443874,2025-01-10 16:29:03,2025-01-10 16:29:03,2025-01-10 16:29:03,42.64,42.64,#443874,"Oxford Drawstring Shorts, Pampa Point Wide Leg Drawstring Pants, Marina Grande Drawstring Shorts",45.72,0.0,0.0,2.87,0.0,45.72,48.589999999999996
gid://shopify/Refund/970336993379,#443885,2025-01-17 22:30:29,2025-01-17 22:30:29,2025-01-17 22:30:29,0.0,0.0,#443885,"Mystic Plum Harem Pants, Cosmic Teal Harem Pants",47.98,0.0,0.0,3.36,0.0,47.98,51.339999999999996
gid://shopify/Refund/968490418275,#444042,2025-01-06 22:27:00,2025-01-06 22:27:00,2025-01-06 22:27:00,22.55,22.55,#444042,Emerald Isle Harem Pants,23.99,0.0,0.0,2.34,0.0,23.99,26.33
